备份开始时间: 2026-04-23 09:54:19 (北京时间)
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.gitignore -> E:\重要文件备份\md_note\.gitignore
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\001test.md -> E:\重要文件备份\md_note\001test.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\Redis.md -> E:\重要文件备份\md_note\Redis.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\test.md -> E:\重要文件备份\md_note\test.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\test1.md -> E:\重要文件备份\md_note\test1.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\todo.md -> E:\重要文件备份\md_note\todo.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\今天.md -> E:\重要文件备份\md_note\今天.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\周结.md -> E:\重要文件备份\md_note\周结.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\实习经历.md -> E:\重要文件备份\md_note\实习经历.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\成为专家的科学公式.md -> E:\重要文件备份\md_note\成为专家的科学公式.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\月结.md -> E:\重要文件备份\md_note\月结.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\苍穹外卖.md -> E:\重要文件备份\md_note\苍穹外卖.md
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\COMMIT_EDITMSG -> E:\重要文件备份\md_note\.git\COMMIT_EDITMSG
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\config -> E:\重要文件备份\md_note\.git\config
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\description -> E:\重要文件备份\md_note\.git\description
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\FETCH_HEAD -> E:\重要文件备份\md_note\.git\FETCH_HEAD
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\HEAD -> E:\重要文件备份\md_note\.git\HEAD
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\index -> E:\重要文件备份\md_note\.git\index
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\ORIG_HEAD -> E:\重要文件备份\md_note\.git\ORIG_HEAD
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\applypatch-msg.sample -> E:\重要文件备份\md_note\.git\hooks\applypatch-msg.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\commit-msg.sample -> E:\重要文件备份\md_note\.git\hooks\commit-msg.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\fsmonitor-watchman.sample -> E:\重要文件备份\md_note\.git\hooks\fsmonitor-watchman.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\post-update.sample -> E:\重要文件备份\md_note\.git\hooks\post-update.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-applypatch.sample -> E:\重要文件备份\md_note\.git\hooks\pre-applypatch.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-commit.sample -> E:\重要文件备份\md_note\.git\hooks\pre-commit.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-merge-commit.sample -> E:\重要文件备份\md_note\.git\hooks\pre-merge-commit.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-push.sample -> E:\重要文件备份\md_note\.git\hooks\pre-push.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-rebase.sample -> E:\重要文件备份\md_note\.git\hooks\pre-rebase.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\pre-receive.sample -> E:\重要文件备份\md_note\.git\hooks\pre-receive.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\prepare-commit-msg.sample -> E:\重要文件备份\md_note\.git\hooks\prepare-commit-msg.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\push-to-checkout.sample -> E:\重要文件备份\md_note\.git\hooks\push-to-checkout.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\sendemail-validate.sample -> E:\重要文件备份\md_note\.git\hooks\sendemail-validate.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\hooks\update.sample -> E:\重要文件备份\md_note\.git\hooks\update.sample
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\info\exclude -> E:\重要文件备份\md_note\.git\info\exclude
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\logs\HEAD -> E:\重要文件备份\md_note\.git\logs\HEAD
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\logs\refs\heads\main -> E:\重要文件备份\md_note\.git\logs\refs\heads\main
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\logs\refs\remotes\origin\HEAD -> E:\重要文件备份\md_note\.git\logs\refs\remotes\origin\HEAD
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\logs\refs\remotes\origin\main -> E:\重要文件备份\md_note\.git\logs\refs\remotes\origin\main
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\06afa6acbde4667c096adfe1460d57780a886d -> E:\重要文件备份\md_note\.git\objects\00\06afa6acbde4667c096adfe1460d57780a886d
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\277bbd961c089537820360840b2a9dc74e339c -> E:\重要文件备份\md_note\.git\objects\00\277bbd961c089537820360840b2a9dc74e339c
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\4c357b4dd1059912f1d33e90b2731953cf4f5b -> E:\重要文件备份\md_note\.git\objects\00\4c357b4dd1059912f1d33e90b2731953cf4f5b
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\52e9a65667df3421e6dd5ae3d1236124f0f669 -> E:\重要文件备份\md_note\.git\objects\00\52e9a65667df3421e6dd5ae3d1236124f0f669
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\654096f6bf9180f4dc6c82c7cd93c14b0ec2aa -> E:\重要文件备份\md_note\.git\objects\00\654096f6bf9180f4dc6c82c7cd93c14b0ec2aa
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\87ee1e843d2fa131609b1fc5be96c7f897fe23 -> E:\重要文件备份\md_note\.git\objects\00\87ee1e843d2fa131609b1fc5be96c7f897fe23
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\8b0a991844de49de773f80bf8b3ea394e24d79 -> E:\重要文件备份\md_note\.git\objects\00\8b0a991844de49de773f80bf8b3ea394e24d79
备份文件: C:\Users\czl\Desktop\作业垃圾箱\md_note\.git\objects\00\8ee3ce4a669f12c742a8d6358e03327266aed3 -> E:\重要文件备份\md_note\.git\objects\00\8ee3ce4a669f12c742a8d6358e03327266aed3
